emp_no,title,dept_no,first_name,last_name,birth_date,from_date,to_date
22926,Senior Engineer,d004,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01
23396,Technique Leader,d004,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01
24080,Technique Leader,d005,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01
24189,Staff,d008,Abdelaziz,Atrawala,1965-01-16,1993-03-28,1997-02-23
24205,Senior Engineer,d005,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01
24377,Engineer,d006,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01
24394,Staff,d007,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01
24421,Senior Engineer,d004,Dannz,Grospietsch,1965-01-10,1990-09-01,2000-10-12
24553,Staff,d007,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01
24571,Senior Engineer,d004,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01
25488,Senior Staff,d008,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01
26476,Staff,d007,Bilhanan,Karcich,1965-01-19,1996-04-09,1997-02-04
26503,Senior Staff,d007,Shietung,Billingsley,1965-01-27,1998-11-07,1998-12-02
26617,Engineer,d005,Berto,Bruckman,1965-01-06,1991-11-23,1994-03-27
26629,Senior Staff,d008,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01
26671,Senior Engineer,d005,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01
26788,Engineer,d005,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01
27150,Staff,d007,Chenyi,Plump,1965-01-06,1992-06-23,1995-05-22
27331,Senior Staff,d009,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01
27378,Senior Staff,d002,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01
27620,Engineer,d004,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01
27686,Senior Staff,d007,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01
27699,Engineer,d004,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01
27767,Senior Staff,d009,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01
27970,Technique Leader,d004,KayLiang,Miyakawa,1965-01-12,1995-11-22,2000-02-07
28193,Senior Engineer,d005,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01
28222,Technique Leader,d004,Mayuko,Vitiello,1965-01-11,1993-12-22,1995-10-16
28974,Senior Engineer,d005,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01
28988,Technique Leader,d004,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01
29130,Staff,d001,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01
29265,Staff,d009,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01
29380,Assistant Engineer,d004,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01
29418,Assistant Engineer,d004,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01
29679,Senior Engineer,d005,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01
29782,Senior Engineer,d004,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01
29954,Senior Engineer,d004,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01
30007,Engineer,d004,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01
30035,Senior Staff,d008,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01
30154,Technique Leader,d005,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01
30182,Senior Engineer,d005,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01
30465,Engineer,d005,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01
30484,Staff,d007,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01
30552,Senior Engineer,d005,Yishai,Terlouw,1965-01-18,1986-09-19,1999-01-07
30695,Senior Engineer,d005,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01
30938,Staff,d007,Yakkov,Samarati,1965-01-06,1995-05-23,1997-10-10
31147,Senior Staff,d002,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01
31170,Senior Staff,d008,Tuval,Waleschkowski,1965-01-08,1987-10-16,1988-12-14
31188,Technique Leader,d004,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01
31207,Senior Engineer,d004,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01
31341,Senior Staff,d002,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01
31514,Senior Engineer,d005,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01
31568,Staff,d001,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01
31599,Engineer,d004,Qingxiang,Gewali,1965-01-05,1997-09-22,1998-12-01
31629,Assistant Engineer,d004,Toong,Veldwijk,1965-01-24,1986-07-28,1996-04-26
31909,Engineer,d004,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01
32347,Staff,d001,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01
32552,Engineer,d005,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01
32622,Staff,d003,Piyush,Paciorek,1965-01-23,1991-07-18,1991-08-07
32649,Senior Staff,d008,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01
32714,Staff,d001,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01
32844,Engineer,d005,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01
33025,Senior Staff,d009,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01
33215,Technique Leader,d004,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01
33293,Assistant Engineer,d005,Adamantios,Vanwelkenhuysen,1965-02-01,1994-01-11,2000-08-18
33606,Staff,d001,Clyde,Swift,1965-01-02,1994-11-14,1996-12-29
33722,Senior Engineer,d008,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01
34077,Senior Staff,d007,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01
34261,Senior Staff,d003,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01
34446,Senior Engineer,d005,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01
34452,Senior Engineer,d004,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01
34505,Staff,d007,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01
34533,Senior Engineer,d006,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01
34780,Staff,d001,Moni,Kohling,1965-01-16,1994-07-21,2001-09-18
34788,Senior Engineer,d004,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01
34936,Technique Leader,d004,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01
35044,Senior Engineer,d004,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01
35087,Staff,d009,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01
35441,Engineer,d005,Chandrasekaran,Peek,1965-01-31,1988-02-07,1990-09-17
35642,Engineer,d006,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01
35793,Senior Staff,d009,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01
35798,Senior Engineer,d005,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01
36521,Staff,d002,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01
36626,Senior Staff,d007,Fen,Genin,1965-01-02,1986-05-09,9999-01-01
36733,Staff,d009,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01
36844,Staff,d009,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01
36982,Senior Engineer,d006,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01
37070,Staff,d009,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01
37592,Engineer,d005,Berni,Stranks,1965-02-01,1985-11-05,1992-09-19
37719,Engineer,d004,Nakhoon,Buescher,1965-01-31,1988-06-12,1999-01-17
37945,Senior Engineer,d005,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01
38017,Staff,d007,Ulf,Himler,1965-01-24,1994-01-02,1995-08-05
38043,Engineer,d005,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01
38103,Engineer,d004,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01
38168,Staff,d007,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01
38550,Senior Engineer,d006,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01
38593,Engineer,d004,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01
38947,Staff,d001,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01
39000,Staff,d008,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01
39036,Staff,d003,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01
39268,Engineer,d004,Constantijn,Awdeh,1965-01-10,1987-10-20,1990-06-10
39301,Staff,d008,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01
39341,Engineer,d004,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01
39952,Staff,d007,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01
40269,Staff,d007,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01
40283,Engineer,d005,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01
40301,Senior Engineer,d004,Spyrose,Felder,1965-01-20,1996-06-16,1997-10-20
40536,Senior Engineer,d005,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01
40648,Staff,d002,Wayne,Erev,1965-01-23,1990-09-19,1993-02-02
40765,Senior Staff,d008,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01
40773,Senior Staff,d009,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01
40785,Engineer,d004,Youpyo,Castellani,1965-01-31,1998-09-04,1999-10-14
40983,Technique Leader,d005,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01
41114,Technique Leader,d004,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01
41137,Senior Staff,d007,Bikash,Buchter,1965-01-20,1987-11-23,1996-01-08
41357,Engineer,d005,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01
41518,Senior Engineer,d004,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01
41520,Senior Engineer,d005,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01
41552,Engineer,d005,Uno,Heyers,1965-01-03,1990-09-28,2001-11-29
41609,Senior Staff,d007,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01
42778,Senior Staff,d003,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01
42911,Engineer,d004,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01
42950,Senior Staff,d008,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01
42955,Engineer,d006,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01
43154,Senior Staff,d002,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01
43358,Staff,d001,Ottavia,Mitsuhashi,1965-01-07,1989-08-18,1996-07-13
43733,Senior Staff,d003,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01
43848,Engineer,d004,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01
44054,Engineer,d005,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01
44265,Engineer,d005,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01
44540,Senior Engineer,d005,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01
44900,Senior Staff,d001,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01
44959,Engineer,d004,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01
44962,Assistant Engineer,d005,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01
45162,Senior Engineer,d005,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01
45590,Technique Leader,d006,Masoud,Genin,1965-01-21,1991-02-16,1994-06-01
46000,Senior Staff,d009,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01
46015,Staff,d007,Weiye,Masand,1965-01-19,1995-07-24,2002-01-29
46222,Staff,d007,Mrinalini,Strooper,1965-01-20,1990-03-05,1992-09-04
46328,Senior Staff,d007,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01
46531,Assistant Engineer,d005,Yaghout,Peng,1965-01-30,1995-10-02,1997-10-07
46811,Senior Engineer,d004,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01
46834,Senior Staff,d007,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01
46943,Engineer,d005,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01
47016,Staff,d009,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01
47139,Engineer,d005,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01
47262,Senior Engineer,d005,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01
47515,Senior Engineer,d005,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01
47702,Senior Staff,d007,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01
47708,Senior Staff,d001,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01
48275,Staff,d007,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01
48690,Staff,d003,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01
48882,Engineer,d004,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01
48904,Staff,d002,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01
48947,Senior Staff,d007,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01
49010,Senior Staff,d001,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01
49017,Engineer,d005,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01
49119,Engineer,d004,Lena,Peek,1965-01-09,1991-05-16,9999-01-01
49177,Engineer,d004,Tze,Bach,1965-01-03,1999-03-09,9999-01-01
49464,Staff,d007,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01
49477,Senior Staff,d003,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01
50293,Engineer,d004,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01
50311,Senior Engineer,d006,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01
50360,Engineer,d005,Sumali,Kushner,1965-01-18,1999-10-30,2001-10-29
50453,Staff,d002,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01
50587,Technique Leader,d005,Slavian,Yemenis,1965-01-26,1993-08-06,1994-11-18
50670,Staff,d001,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01
50831,Senior Engineer,d004,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01
51036,Staff,d007,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01
51057,Staff,d001,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01
51060,Senior Engineer,d005,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01
51118,Staff,d007,Fumiko,Mundy,1965-01-17,1998-09-22,2001-08-20
51142,Senior Engineer,d005,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01
51502,Senior Staff,d007,Slavian,Munawer,1965-01-29,1999-08-06,2001-09-04
51868,Assistant Engineer,d005,Remmert,Munke,1965-01-19,1991-09-22,1998-05-19
52038,Senior Engineer,d004,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01
52040,Senior Staff,d008,Phule,Heijenga,1965-01-14,1992-02-22,1996-12-08
52283,Senior Staff,d008,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01
52386,Senior Staff,d007,Adas,Denti,1965-01-28,1986-05-30,9999-01-01
52590,Staff,d005,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01
52599,Engineer,d009,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01
52639,Senior Staff,d007,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01
52770,Staff,d007,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01
52778,Technique Leader,d006,Alain,Penn,1965-01-15,1986-05-03,9999-01-01
52956,Engineer,d004,Khalil,Picci,1965-01-31,1987-03-21,1998-11-24
52970,Senior Engineer,d004,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01
53088,Engineer,d004,Mechthild,Lamma,1965-01-25,1986-05-19,1993-06-03
53278,Senior Staff,d007,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01
53314,Staff,d008,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01
53431,Senior Staff,d001,Sham,Vasanthakumar,1965-01-12,1985-10-24,1993-05-24
53499,Senior Engineer,d004,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01
53597,Senior Engineer,d005,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01
53746,Staff,d007,Manu,Erva,1965-01-21,1989-03-17,1993-04-29
53874,Senior Staff,d001,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01
53891,Staff,d003,Olivera,Pargaonkar,1965-01-23,1989-03-13,1992-03-29
53924,Engineer,d004,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01
54198,Senior Engineer,d005,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01
54632,Staff,d002,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01
54795,Staff,d004,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01
54800,Staff,d007,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01
55121,Engineer,d004,Toshiko,Alblas,1965-01-12,1995-07-20,1996-07-23
55640,Senior Engineer,d004,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01
55670,Senior Staff,d002,Ulf,Ranft,1965-01-30,1990-03-25,1996-02-26
55687,Senior Engineer,d005,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01
55799,Senior Engineer,d004,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01
55857,Senior Staff,d007,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01
56105,Engineer,d005,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01
56209,Engineer,d004,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01
56415,Staff,d002,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01
56428,Senior Staff,d007,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01
56682,Assistant Engineer,d005,Roded,Picco,1965-01-28,1993-11-06,9999-01-01
56829,Engineer,d006,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01
56847,Senior Engineer,d004,Menkae,Chinin,1965-01-14,1989-08-19,1998-08-27
57934,Engineer,d005,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01
57982,Senior Staff,d003,Paloma,Benzaken,1965-01-29,1989-10-17,1998-09-11
58141,Staff,d002,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01
58147,Senior Staff,d001,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01
58217,Engineer,d006,Kiyotoshi,Kusalik,1965-01-30,1998-11-19,1999-06-26
58384,Senior Engineer,d005,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01
58454,Engineer,d004,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01
58497,Senior Staff,d007,Yechiam,Cairo,1965-01-22,1996-07-12,2000-10-21
58601,Staff,d007,Sungwon,Asser,1965-01-06,2000-01-27,2000-04-01
58819,Senior Staff,d007,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01
58990,Engineer,d005,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01
59195,Technique Leader,d005,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01
59329,Staff,d007,Zissis,Bazzichi,1965-01-15,1987-02-07,1991-01-25
59640,Staff,d002,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01
59661,Staff,d008,Saeko,Baik,1965-01-09,1996-05-23,1997-10-11
59869,Staff,d001,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01
59966,Technique Leader,d004,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01
60000,Engineer,d005,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01
60091,Senior Staff,d009,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01
60238,Staff,d007,Erzsebet,Claffy,1965-01-23,1997-03-03,1999-02-19
60559,Senior Engineer,d004,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01
60821,Senior Staff,d003,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01
60845,Engineer,d004,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01
60875,Senior Engineer,d006,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01
60959,Staff,d007,Tetsushi,Sridhar,1965-01-09,1989-01-12,1989-10-19
61147,Staff,d001,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01
61253,Engineer,d008,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01
61377,Staff,d004,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01
61541,Senior Engineer,d005,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01
61680,Staff,d007,Hauke,Templeman,1965-01-24,1991-10-23,1999-02-21
61873,Assistant Engineer,d006,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01
61983,Staff,d007,Sastry,Reeken,1965-01-18,1990-07-24,1992-05-17
62033,Senior Engineer,d004,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01
62046,Senior Engineer,d004,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01
62167,Senior Engineer,d004,Mihalis,Haldar,1965-01-25,1998-05-11,2001-02-03
62245,Engineer,d005,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01
